id,monto,cantidad,categoria,region,descuento
141,388.27,12,Deportes,Norte,0.25
142,4050.03,42,Hogar,Este,0.25
143,426.22,6,Deportes,Este,0.22
144,1418.05,44,Alimentos,,0.03
145,3393.5,93,Ropa,Centro,0.48
146,4584.15,84,Electronica,Oeste,0.2
147,1645.74,90,Deportes,Oeste,0.37
148,96.06,28,Ropa,Este,0.38
149,510.2,95,Deportes,Oeste,0.02
150,908.33,80,Hogar,Sur,0.08
151,3054.92,58,Hogar,Sur,0.12
152,4735.92,60,Hogar,Sur,0.39
153,696.3,83,Deportes,Este,0.19
154,805.76,66,Ropa,Este,0.22
155,2077.41,48,Electronica,Norte,0.5
156,3251.55,18,Hogar,Sur,
157,2348.21,11,Ropa,Centro,
158,560.38,39,Deportes,Norte,0.12
159,2501.65,81,Hogar,,0.12
160,2855.47,86,,Centro,0.49
161,2540.57,,Alimentos,Norte,0.02
162,342.46,85,Alimentos,Este,0.39
163,4068.48,100,Ropa,Norte,0.49
164,4718.31,,Alimentos,Centro,0.4
165,4077.95,5,Electronica,Este,0.1
166,3997.72,52,Ropa,Oeste,0.45
167,3987.47,11,Ropa,Este,0.04
168,1642.96,58,Alimentos,Este,0.21
169,2177.53,8,Ropa,Sur,0.32
170,3392.05,17,Hogar,Norte,0.39
171,3396.91,48,Alimentos,Este,0.04
172,571.68,64,Alimentos,Sur,0.46
173,1431.46,63,,Oeste,0.07
174,4053.51,41,Alimentos,Sur,0.35
175,4636.99,47,Ropa,Oeste,0.06
176,,48,Electronica,,0.49
177,3586.08,53,,Norte,0.41
178,3402.14,100,Ropa,Norte,0.29
179,2592.92,21,Deportes,Norte,0.35
180,3177.11,17,Ropa,Centro,0.31
181,3295.37,78,,Norte,0.46
182,,74,Deportes,Oeste,0.11
183,2730.16,39,Alimentos,Norte,0.4
184,2081.03,44,Alimentos,Sur,0.16
185,2577.33,31,Electronica,,0.13
186,4321.5,21,Ropa,Oeste,0.47
187,2336.74,64,Deportes,Sur,
188,1767.71,64,Alimentos,Norte,0.42
189,4412.87,98,,Este,0.02
190,372.29,98,Deportes,Norte,0.41
191,3975.51,47,Deportes,,0.1
192,,61,Ropa,Centro,0.07
193,1967.81,39,Hogar,Este,0.25
194,88.1,15,Electronica,Este,0.29
195,3915.61,74,Deportes,Centro,0.03
196,1904.05,32,Electronica,Oeste,
197,761.4,53,Electronica,Centro,0.31
198,1628.62,68,Deportes,Este,0.48
199,4338.93,89,Alimentos,Sur,0.24
200,4911.39,91,Alimentos,Este,0.35
201,2869.52,51,Alimentos,,0.48
202,399.75,84,Deportes,Centro,0.24
203,690.68,76,Ropa,Norte,0.03
204,1654.82,88,Ropa,Oeste,0.0
205,1001.28,42,Deportes,Norte,0.03
206,879.45,23,Hogar,Este,0.02
207,51.29,14,Deportes,Sur,0.17
208,2342.76,15,Ropa,,0.37
209,1478.65,25,Hogar,Norte,0.43
210,481.45,62,Ropa,Este,0.12
211,1513.22,2,Electronica,Sur,0.18
212,2515.09,91,Alimentos,Sur,0.35
213,672.18,96,Hogar,Sur,0.19
214,3403.31,11,Deportes,Centro,0.26
215,1014.77,22,Ropa,Oeste,0.26
216,2554.32,59,Deportes,Este,0.21
217,1982.76,96,Electronica,Norte,0.04
218,349.75,5,Hogar,Oeste,0.09
219,4585.99,11,Alimentos,Centro,0.33
220,641.1,1,Deportes,Oeste,0.49
221,1241.32,36,Electronica,Oeste,0.44
222,4681.51,31,,Norte,0.05
223,225.96,70,,Este,0.43
224,4582.4,74,Alimentos,Centro,0.34
225,1506.0,76,Hogar,Norte,0.46
226,4708.22,68,Hogar,Centro,0.21
227,4247.46,91,,Oeste,0.23
228,674.79,27,Alimentos,Sur,0.04
229,1888.95,6,Deportes,Sur,0.09
230,1668.16,2,Hogar,Centro,0.1
231,1986.18,42,Alimentos,Este,0.19
232,2488.9,93,Alimentos,Norte,0.42
233,1110.26,34,Alimentos,Este,0.29
234,2851.1,71,Hogar,Oeste,0.34
235,3665.2,18,Deportes,Norte,0.24
236,4196.15,86,,Sur,
237,759.39,59,Deportes,Oeste,0.31
238,,53,Alimentos,Este,
239,,87,Electronica,Sur,0.47
240,2634.65,35,Hogar,Sur,0.04
241,4141.17,84,Deportes,Norte,0.05
242,418.02,83,Electronica,Norte,0.28
243,4506.86,73,,Centro,0.02
244,169.34,41,Ropa,Oeste,
245,1499.89,73,Alimentos,Sur,0.19
246,3448.11,96,Electronica,Centro,0.03
247,1986.53,4,Ropa,Oeste,0.39
248,3400.08,11,Electronica,Sur,0.15
249,3920.53,50,,Este,0.05
250,515.65,56,Electronica,Centro,0.28
251,2992.23,50,Electronica,Centro,
252,4890.97,22,Alimentos,Norte,0.08
253,1383.43,10,Hogar,Sur,0.47
254,681.77,,Alimentos,Oeste,0.42
255,4298.24,18,Hogar,Oeste,0.3
256,1460.78,63,Alimentos,Oeste,0.39
257,4660.68,70,,Sur,0.38
258,1460.2,53,Alimentos,Oeste,0.07
259,374.46,62,Hogar,Este,0.27
260,4062.42,11,Ropa,Norte,0.12
261,3226.93,97,Electronica,Centro,0.4
262,2792.18,29,Deportes,Sur,0.2
263,127.69,54,Ropa,Este,0.04
264,1038.3,61,Electronica,Norte,0.36
265,,14,Ropa,Centro,0.08
266,2801.45,30,Hogar,Centro,0.31
267,2250.63,1,Electronica,Centro,0.1
268,1633.29,34,Alimentos,Centro,0.24
269,575.59,59,Alimentos,Centro,0.41
270,674.07,40,Hogar,Sur,0.19
271,2118.08,69,Deportes,Este,0.32
272,1576.33,7,Ropa,Centro,0.48
273,2477.37,54,Deportes,,0.22
274,1463.99,69,Hogar,Norte,0.39
275,1343.11,47,Hogar,Oeste,0.38
276,4151.2,39,Electronica,Norte,0.02
277,1188.55,76,Hogar,Sur,0.43
278,4068.58,73,Alimentos,Este,0.14
279,1340.38,87,Hogar,Este,0.07
280,638.81,32,Hogar,Centro,0.16
281,3140.93,10,Deportes,Este,0.44
282,2442.78,100,Alimentos,Centro,0.05
283,4840.8,64,Deportes,Oeste,0.41
284,4471.3,6,Electronica,Sur,0.39
285,8.38,26,Alimentos,Este,0.45
286,1805.37,86,Alimentos,Sur,0.08
287,460.54,28,Hogar,,0.07
288,4086.46,55,Electronica,Norte,0.24
289,1840.97,49,Ropa,,0.38
290,3053.54,45,Hogar,Oeste,0.31
291,438.01,97,Hogar,Sur,0.37
292,3224.88,77,Electronica,Este,0.3
293,3036.6,51,Ropa,Norte,0.03
294,3192.22,2,Deportes,Centro,0.47
295,3814.82,99,,Norte,0.29
296,1992.89,92,Electronica,Centro,0.21
297,1390.95,66,Alimentos,Norte,0.49
298,2190.24,31,Hogar,Norte,0.04
299,3709.76,16,Electronica,Este,
300,3916.02,22,Electronica,Norte,0.37
301,2149.48,34,,Este,0.29
302,4297.5,21,Electronica,Centro,0.05
303,,2,Ropa,Norte,0.24
304,4570.17,54,Alimentos,Norte,0.12
305,601.41,7,Hogar,,0.4
306,1415.12,42,Alimentos,Este,0.23
307,1216.71,64,Deportes,Sur,0.39
308,4662.33,,Electronica,Norte,0.32
309,1884.49,40,Hogar,Sur,0.26
310,469.67,67,Electronica,Centro,0.45
311,4100.71,73,Alimentos,Este,0.33
312,1967.8,42,,Centro,0.14
313,532.76,41,Ropa,Oeste,0.27
314,603.97,88,Ropa,Este,0.35
315,3557.23,51,Ropa,,0.34
316,2263.74,32,Electronica,,0.05
317,4912.92,52,Deportes,Norte,0.32
318,,83,Alimentos,Oeste,0.06
319,4621.04,93,Ropa,Sur,0.01
320,2232.83,79,Hogar,Oeste,0.12
321,1402.48,26,Deportes,Oeste,0.4
322,1798.76,63,Alimentos,Este,0.28
323,151.37,36,Deportes,Sur,0.5
324,3286.04,95,Hogar,Sur,0.5
325,2964.63,90,Alimentos,Centro,0.3
326,4742.1,64,,,0.09
327,104.54,43,Ropa,Este,0.1
328,742.82,19,Electronica,Oeste,0.42
329,1686.12,21,Hogar,Sur,0.22
330,2812.08,79,Ropa,Este,0.11
331,3645.51,74,Electronica,Este,0.5
332,4837.82,73,Electronica,Este,0.25
333,4427.17,91,Electronica,Sur,0.36
334,1755.65,93,Hogar,Oeste,
335,1896.67,13,Ropa,Norte,0.39
336,171.9,,Hogar,Norte,0.05
337,4491.13,77,Hogar,Sur,0.45
338,2173.83,43,Deportes,Este,0.09
339,484.1,71,Hogar,Centro,0.08
340,489.45,82,Alimentos,Oeste,0.04
341,3306.9,70,Ropa,Este,0.19
342,1320.69,73,Electronica,Centro,0.38
343,3783.5,8,Deportes,Oeste,0.41
344,1182.03,51,Deportes,Centro,0.36
345,4746.53,22,Hogar,,0.4
346,1013.59,19,Electronica,Centro,0.13
347,1634.0,59,Deportes,Oeste,0.01
348,752.46,75,Deportes,Este,0.47
349,4401.28,34,Electronica,Oeste,0.24
350,3045.23,5,Electronica,Este,0.44
351,106.06,39,Electronica,Sur,0.42
352,4871.23,42,Ropa,Oeste,0.21
353,3798.67,8,Deportes,Centro,0.08
354,149.6,26,Alimentos,Este,0.12
355,2323.77,16,Hogar,Oeste,0.12
356,1752.05,34,Hogar,,0.34
357,3900.25,29,Hogar,Norte,0.34
358,665.91,2,Alimentos,Oeste,0.3
359,2297.7,39,Electronica,,0.41
360,4832.59,72,Electronica,Este,0.3
361,3204.77,34,Ropa,Sur,0.48
362,4028.12,77,Electronica,Este,0.16
363,2095.74,5,Alimentos,Sur,0.5
364,3193.38,86,Deportes,Norte,0.15
365,3705.89,72,Alimentos,Sur,0.09
366,3722.33,43,Electronica,Centro,0.29
367,3105.17,25,Alimentos,Sur,0.43
368,1005.48,73,Ropa,Oeste,0.49
369,4933.27,8,Ropa,Sur,
370,3819.03,79,Hogar,Norte,0.21
371,3654.64,42,,,0.27
372,1135.2,40,Ropa,,0.19
373,,59,Ropa,Oeste,0.3
374,946.19,52,Ropa,Norte,
375,849.08,84,Deportes,Centro,0.19
376,3311.54,3,Hogar,Centro,
377,3510.83,88,Deportes,Centro,0.15
378,2097.03,66,Electronica,Centro,0.06
379,1318.65,26,Deportes,Sur,0.2
380,2405.92,2,Hogar,Norte,0.45
381,379.87,33,Alimentos,Norte,0.23
382,4371.33,47,Electronica,Norte,0.16
383,,83,Deportes,Norte,0.18
384,1716.9,52,Hogar,Sur,0.14
385,3482.37,21,Deportes,Sur,0.46
386,3896.93,88,Hogar,Norte,0.36
387,2206.24,84,Deportes,Sur,0.35
388,3350.87,67,Ropa,Oeste,0.31
389,4133.06,79,Hogar,Sur,0.32
390,2460.78,36,Hogar,Norte,0.11
391,4007.3,64,Electronica,Oeste,0.06
392,,12,Deportes,Oeste,0.48
393,1819.9,29,Deportes,Este,0.17
394,574.55,29,Alimentos,Este,
395,233.66,18,Alimentos,Sur,0.37
396,4261.71,25,Deportes,Oeste,0.05
397,2948.63,64,Deportes,Centro,
398,2544.12,23,Electronica,Centro,0.09
399,1612.61,54,Alimentos,Este,0.46
400,2266.96,53,Deportes,Centro,0.44
401,1008.44,38,Ropa,Este,0.46
402,3805.07,75,Deportes,Oeste,0.33
403,2616.04,,Ropa,Este,0.34
404,314.85,27,Electronica,Centro,0.02
405,3713.35,31,Electronica,Oeste,0.4
406,3941.62,71,Hogar,Este,0.37
407,2735.34,100,Electronica,Sur,0.1
408,601.17,,Alimentos,,0.13
409,4687.78,,Deportes,Este,0.3
410,2865.52,91,Electronica,Sur,0.11
411,2687.49,29,Alimentos,Centro,0.33
412,4983.17,84,Hogar,Centro,
413,1222.92,,Electronica,Centro,0.19
414,128.41,99,Electronica,Sur,0.4
415,416.32,99,,Sur,0.0
416,2123.93,69,Hogar,Norte,0.44
417,773.0,43,,Este,
418,2876.94,34,Alimentos,,0.23
419,2676.5,80,,Este,0.37
420,535.15,39,Hogar,Norte,0.14
421,2669.67,51,Ropa,Este,0.42
422,60.7,19,Deportes,Norte,0.0
423,3742.74,45,Ropa,Sur,0.45
424,1267.45,86,Deportes,Centro,0.43
425,3360.07,26,Ropa,Sur,0.24
426,3099.48,41,Deportes,Centro,0.16
427,1585.08,1,Hogar,Este,0.39
428,3666.2,60,Electronica,Centro,0.39
429,1406.68,69,Electronica,Centro,0.37
430,4064.15,99,Deportes,Centro,0.45
431,3877.11,29,Ropa,Centro,0.29
432,1822.51,,Ropa,Sur,0.48
433,899.83,85,Alimentos,,0.07
434,1162.59,30,Alimentos,Oeste,
435,204.32,14,Alimentos,Centro,0.26
436,3270.11,84,Ropa,Este,0.04
437,1728.44,78,Hogar,Norte,
438,1407.64,21,Ropa,Este,0.36
439,2410.18,27,Ropa,,0.32
440,809.84,6,Ropa,Oeste,0.07
441,2820.21,,Electronica,Centro,0.33
442,4337.18,53,Ropa,Centro,0.4
443,3622.31,59,Ropa,Sur,0.03
444,4547.15,20,Deportes,,0.09
445,2519.13,62,Electronica,Oeste,0.45
446,1855.04,,Hogar,Centro,0.11
447,673.75,30,Deportes,Sur,0.04
448,,1,,Este,0.06
449,537.38,75,Alimentos,Oeste,0.43
450,2069.07,62,Alimentos,Oeste,0.28
451,4275.72,96,Electronica,Oeste,0.39
452,4005.26,88,Electronica,Sur,0.08
453,3003.23,34,,Oeste,0.04
454,2607.42,77,Hogar,Sur,0.39
455,4654.14,25,Deportes,Centro,
456,185.13,1,Hogar,Oeste,0.04
457,1005.55,,Deportes,Este,0.46
458,4078.5,25,,Centro,0.2
459,366.57,15,Deportes,Oeste,0.48
460,2818.03,97,Deportes,Oeste,0.39
461,342.43,29,Alimentos,Norte,0.11
462,1320.43,52,,Oeste,0.41
463,1096.74,24,Hogar,Sur,0.34
464,4364.35,26,Electronica,Norte,0.42
465,3318.8,98,Alimentos,Oeste,0.48
466,4405.53,36,Alimentos,Centro,0.49
467,2631.05,70,Ropa,Norte,
468,2303.05,2,Alimentos,Este,0.19
469,1317.93,79,Hogar,Este,0.09
470,2005.96,74,Electronica,Sur,0.29
471,4282.26,95,Hogar,Centro,0.4
472,1582.06,33,Ropa,,0.28
473,2385.31,58,Deportes,Este,0.13
474,2061.75,87,Deportes,Este,0.1
475,3367.6,95,Hogar,Sur,0.04
476,3204.7,54,Electronica,,0.29
477,1570.84,91,Hogar,Este,0.32
478,2607.07,22,Alimentos,Norte,0.01
479,1988.24,61,Electronica,Centro,0.01
480,3275.89,40,Ropa,Sur,0.37
481,,42,Alimentos,Sur,0.23
482,3489.63,77,Hogar,Centro,0.37
483,1739.11,12,Alimentos,,0.18
484,3792.68,37,Hogar,Oeste,0.0
485,2987.03,71,Hogar,Oeste,0.21
486,1106.86,81,Alimentos,Centro,0.38
487,2067.45,24,Hogar,Centro,0.06
488,1606.62,69,Alimentos,Oeste,
489,1167.89,64,Hogar,Oeste,0.21
490,163.53,97,Electronica,Sur,0.03
491,4208.49,2,Hogar,Norte,0.38
492,3677.94,86,Alimentos,Sur,0.24
493,215.72,67,Alimentos,Sur,0.24
494,1183.65,2,Ropa,,0.14
495,,61,Ropa,Norte,0.08
496,1695.42,98,Deportes,Sur,0.03
497,1587.11,83,Ropa,,0.4
498,3623.37,6,Hogar,Sur,0.22
499,1621.79,77,,Este,0.28
500,2710.32,100,Electronica,Este,0.19
501,1197.74,85,Hogar,Sur,0.41
502,1616.39,15,,Sur,0.33
503,1014.38,13,Hogar,Centro,
504,2953.55,,,Oeste,0.36
505,4161.23,82,Hogar,Norte,0.28
506,1332.75,,Deportes,Sur,0.15
507,951.35,32,Deportes,Norte,0.47
508,2884.94,90,Ropa,Centro,0.44
509,795.09,57,Alimentos,Oeste,0.45
510,2155.79,78,Deportes,Este,0.27
511,2264.76,1,Deportes,Este,0.49
512,,28,Alimentos,Centro,0.01
513,4629.98,5,Deportes,Este,0.08
514,464.07,28,Ropa,Centro,0.36
515,481.34,5,,,0.29
516,1742.91,54,Deportes,Oeste,0.06
517,2624.29,73,Electronica,Oeste,0.25
518,3765.44,12,Ropa,Oeste,0.14
519,251.31,11,Ropa,Sur,0.22
520,3262.98,79,Alimentos,Este,0.26
521,2882.21,53,Deportes,Este,0.17
522,1751.83,57,Ropa,Este,0.22
523,3643.79,95,Alimentos,,0.47
524,560.83,3,Deportes,Este,0.37
525,3117.09,89,Deportes,,0.01
526,1423.65,80,Electronica,Este,0.23
527,4564.78,14,Hogar,Oeste,
528,3549.9,63,Deportes,Centro,0.27
529,112.33,68,Electronica,Este,0.24
530,1515.12,65,Hogar,Norte,0.03
531,4745.84,44,Hogar,Centro,0.33
532,3434.18,74,Alimentos,Sur,0.49
533,697.19,26,Deportes,Oeste,0.15
534,4879.01,73,Electronica,Sur,0.16
535,3828.35,53,Alimentos,Sur,0.15
536,927.81,79,Deportes,Norte,0.3
537,3442.27,65,Ropa,Oeste,0.23
538,823.11,53,Hogar,Sur,0.01
539,335.35,57,Hogar,Oeste,0.24
540,213.92,49,Deportes,Centro,0.2
541,3522.04,,Ropa,Oeste,0.23
542,201.06,98,Hogar,Este,0.02
543,2115.2,7,Hogar,Centro,0.45
544,3894.76,90,Electronica,Centro,0.2
545,4479.5,12,Ropa,Norte,0.35
546,3532.6,11,Deportes,Sur,0.19
547,1906.13,43,Ropa,Norte,0.33
548,1551.04,58,Ropa,,0.09
549,65.98,64,Ropa,Oeste,0.0
550,2212.17,1,Deportes,Sur,0.27
551,,84,,Centro,0.07
552,4602.32,,Deportes,Centro,0.09
553,2813.08,96,Alimentos,Oeste,0.47
554,3793.42,9,Alimentos,Oeste,0.07
555,3480.67,14,Electronica,Centro,0.49
556,4931.46,78,Deportes,Sur,0.13
557,2484.5,64,Alimentos,Norte,0.09
558,2327.1,95,Hogar,,0.4
559,4031.19,82,Alimentos,Centro,0.14
560,35.63,44,Ropa,Este,0.28
561,2398.15,5,Deportes,Oeste,0.24
562,2072.7,67,Deportes,,0.36
563,1661.94,46,Alimentos,Centro,0.07
564,2857.05,77,Alimentos,Este,0.39
565,2487.79,58,Ropa,Norte,0.15
566,4567.2,4,Alimentos,Centro,0.45
567,1640.05,13,Ropa,Norte,0.47
568,3569.82,1,Electronica,Norte,0.02
569,3832.07,3,Alimentos,Este,0.16
570,1599.15,16,Deportes,Norte,0.08
571,1754.84,19,Ropa,,0.4
572,1697.0,17,Electronica,Norte,
573,1962.62,76,Alimentos,Sur,0.35
574,3356.0,97,Hogar,Este,0.28
575,3552.53,30,Alimentos,Oeste,0.07
576,4586.74,42,Alimentos,Sur,0.02
577,1746.33,66,Alimentos,Norte,0.41
578,2666.06,53,Hogar,Este,0.12
579,3471.83,56,Ropa,Norte,0.17
580,3560.98,15,Hogar,Oeste,0.23
581,548.18,99,Electronica,Sur,0.16
582,4516.76,1,Alimentos,Centro,0.33
583,1032.28,39,Hogar,Este,0.46
584,2915.72,66,Alimentos,Norte,0.06
585,,46,,Centro,0.14
586,1594.05,49,Ropa,Oeste,0.11
587,1804.64,37,Electronica,Sur,0.34
588,2436.07,18,Hogar,Centro,0.32
589,3118.13,55,Ropa,Norte,0.23
590,4234.79,65,Electronica,Centro,0.46
591,1846.05,89,Alimentos,Norte,0.37
592,3052.3,81,,Centro,0.48
593,268.61,100,Hogar,Este,
594,4803.1,38,Alimentos,Centro,0.35
595,3148.35,74,Deportes,,0.5
596,638.47,36,Alimentos,,0.31
597,877.2,20,Ropa,Centro,0.18
598,1717.53,19,Hogar,Sur,0.41
599,3631.37,74,Electronica,,0.17
600,2383.78,97,Hogar,Sur,0.12
601,2176.5,58,Electronica,Centro,0.16
602,4781.14,84,Electronica,Centro,0.17
603,3866.89,94,Ropa,Norte,0.39
604,4159.29,,Ropa,Este,0.05
605,123.38,77,Electronica,Norte,0.42
606,3025.41,98,Electronica,Este,0.28
607,3304.09,59,Alimentos,Norte,0.14
608,316.62,8,Electronica,Sur,0.41
609,896.32,19,Electronica,Este,0.22
610,369.23,33,Electronica,Oeste,0.01
611,3501.78,74,Hogar,Oeste,
612,3905.78,70,Hogar,Centro,0.19
613,1797.8,52,Alimentos,Este,0.5
614,2300.9,83,Ropa,Oeste,0.28
615,3154.93,11,Electronica,Centro,0.22
616,1946.89,83,Hogar,Norte,0.27
617,,93,Deportes,Centro,
618,2898.83,5,,Centro,0.24
619,,17,Alimentos,Norte,
620,857.59,14,Electronica,Oeste,0.3
621,4180.3,52,Ropa,Sur,0.49
622,2967.46,16,Alimentos,Oeste,0.38
623,2912.02,81,,Norte,0.39
624,,91,Hogar,Sur,0.44
625,1358.39,31,,Oeste,0.31
626,444.67,39,Electronica,Norte,0.0
627,4314.34,65,Alimentos,,0.39
628,750.34,61,Electronica,Este,0.08
629,1260.65,98,,Sur,0.05
630,2427.88,31,Ropa,Este,0.3
631,555.11,31,Ropa,,0.43
632,276.43,28,Ropa,Sur,0.23
633,4877.9,17,Alimentos,Oeste,
634,860.15,38,Deportes,Centro,0.39
635,4275.75,67,Hogar,Oeste,0.5
636,1237.04,75,Deportes,Oeste,0.46
637,205.09,99,Electronica,Sur,0.21
638,3766.63,53,Electronica,,0.07
639,813.21,74,Ropa,Oeste,0.01
640,4358.4,91,,Este,0.43
641,1486.47,90,Electronica,Este,0.27
642,278.78,87,Hogar,Este,0.03
643,3242.62,72,Ropa,Oeste,0.1
644,3762.62,90,Alimentos,Centro,0.37
645,1389.34,45,Hogar,Centro,0.25
646,2262.63,87,Electronica,Oeste,0.4
647,1956.46,10,Hogar,Sur,0.14
648,3138.24,88,Hogar,Norte,0.07
649,319.43,30,Deportes,Este,0.26
650,3330.95,71,Alimentos,Este,0.15
651,1862.65,7,Deportes,Centro,0.14
652,4866.16,89,Electronica,,0.4
653,636.74,24,Alimentos,Oeste,0.35
654,817.18,4,Hogar,Sur,0.25
655,,65,Alimentos,Centro,0.35
656,3998.88,57,Electronica,Centro,0.06
657,128.85,29,,Centro,0.05
658,3907.51,26,Hogar,Norte,
659,1975.15,78,Alimentos,Oeste,0.47
660,1867.29,45,Ropa,Oeste,0.22
661,2080.97,21,Hogar,Centro,0.49
662,722.48,68,Hogar,Oeste,0.03
663,1370.28,60,Ropa,Este,0.38
